,gene,name,total,max1,max3
101,ENSG00000269349,somethw,-1.0,-1.0,-1.0
102,ENSG00000200291,somethw,-1.0,-1.0,-1.0
103,ENSG00000233614,somethw,-1.0,-1.0,-1.0
104,ENSG00000022567,somethw,-1.0,-1.0,-1.0
105,ENSG00000278933,somethw,-1.0,-1.0,-1.0
106,ENSG00000202175,somethw,-1.0,-1.0,-1.0
107,ENSG00000120662,somethw,-1.0,-1.0,-1.0
108,ENSG00000235523,somethw,-1.0,-1.0,-1.0
109,ENSG00000249848,somethw,-1.0,-1.0,-1.0
110,ENSG00000277826,somethw,-1.0,-1.0,-1.0
111,ENSG00000230225,somethw,-1.0,-1.0,-1.0
112,ENSG00000239877,somethw,-1.0,-1.0,-1.0
113,ENSG00000201398,somethw,-1.0,-1.0,-1.0
114,ENSG00000272905,somethw,-1.0,-1.0,-1.0
115,ENSG00000259952,somethw,-1.0,-1.0,-1.0
116,ENSG00000260812,somethw,-1.0,-1.0,-1.0
117,ENSG00000225630,somethw,-1.0,-1.0,-1.0
118,ENSG00000230231,somethw,-1.0,-1.0,-1.0
119,ENSG00000164283,somethw,-1.0,-1.0,-1.0
120,ENSG00000231880,somethw,-1.0,-1.0,-1.0
121,ENSG00000227489,somethw,-1.0,-1.0,-1.0
122,ENSG00000254555,somethw,-1.0,-1.0,-1.0
123,ENSG00000013392,somethw,-1.0,-1.0,-1.0
124,ENSG00000258279,somethw,-1.0,-1.0,-1.0
125,ENSG00000226688,somethw,-1.0,-1.0,-1.0
126,ENSG00000250929,somethw,-1.0,-1.0,-1.0
127,ENSG00000204581,somethw,-1.0,-1.0,-1.0
128,ENSG00000225620,somethw,-1.0,-1.0,-1.0
129,ENSG00000258477,somethw,-1.0,-1.0,-1.0
130,ENSG00000225488,somethw,-1.0,-1.0,-1.0
131,ENSG00000184178,somethw,-1.0,-1.0,-1.0
132,ENSG00000237786,somethw,-1.0,-1.0,-1.0
133,ENSG00000166913,somethw,-1.0,-1.0,-1.0
134,ENSG00000275856,somethw,-1.0,-1.0,-1.0
135,ENSG00000164112,somethw,-1.0,-1.0,-1.0
136,ENSG00000259345,somethw,-1.0,-1.0,-1.0
137,ENSG00000130204,somethw,-1.0,-1.0,-1.0
138,ENSG00000280387,somethw,-1.0,-1.0,-1.0
139,ENSG00000189099,somethw,-1.0,-1.0,-1.0
140,ENSG00000232879,somethw,-1.0,-1.0,-1.0
141,ENSG00000111863,somethw,-1.0,-1.0,-1.0
142,ENSG00000164182,somethw,-1.0,-1.0,-1.0
143,ENSG00000109618,somethw,-1.0,-1.0,-1.0
144,ENSG00000271623,somethw,-1.0,-1.0,-1.0
145,ENSG00000279345,somethw,-1.0,-1.0,-1.0
146,ENSG00000214866,somethw,-1.0,-1.0,-1.0
147,ENSG00000153015,somethw,-1.0,-1.0,-1.0
148,ENSG00000202290,somethw,-1.0,-1.0,-1.0
149,ENSG00000254578,somethw,-1.0,-1.0,-1.0
150,ENSG00000240710,somethw,-1.0,-1.0,-1.0
151,ENSG00000248778,somethw,-1.0,-1.0,-1.0
152,ENSG00000250210,somethw,-1.0,-1.0,-1.0
153,ENSG00000225215,somethw,-1.0,-1.0,-1.0
154,ENSG00000257246,somethw,-1.0,-1.0,-1.0
155,ENSG00000245017,somethw,-1.0,-1.0,-1.0
156,ENSG00000281091,somethw,-1.0,-1.0,-1.0
157,ENSG00000250885,somethw,-1.0,-1.0,-1.0
158,ENSG00000273797,somethw,-1.0,-1.0,-1.0
159,ENSG00000089116,somethw,-1.0,-1.0,-1.0
160,ENSG00000036448,somethw,-1.0,-1.0,-1.0
161,ENSG00000234055,somethw,-1.0,-1.0,-1.0
162,ENSG00000267552,somethw,-1.0,-1.0,-1.0
163,ENSG00000224695,somethw,-1.0,-1.0,-1.0
164,ENSG00000106038,somethw,-1.0,-1.0,-1.0
165,ENSG00000255189,somethw,-1.0,-1.0,-1.0
166,ENSG00000164114,somethw,-1.0,-1.0,-1.0
167,ENSG00000238698,somethw,-1.0,-1.0,-1.0
168,ENSG00000199836,somethw,-1.0,-1.0,-1.0
169,ENSG00000149089,somethw,-1.0,-1.0,-1.0
170,ENSG00000224570,somethw,-1.0,-1.0,-1.0
171,ENSG00000179632,somethw,-1.0,-1.0,-1.0
172,ENSG00000271677,somethw,-1.0,-1.0,-1.0
173,ENSG00000114861,somethw,-1.0,-1.0,-1.0
174,ENSG00000205030,somethw,-1.0,-1.0,-1.0
175,ENSG00000138193,somethw,-1.0,-1.0,-1.0
176,ENSG00000243073,somethw,-1.0,-1.0,-1.0
177,ENSG00000152942,somethw,-1.0,-1.0,-1.0
178,ENSG00000240809,somethw,-1.0,-1.0,-1.0
179,ENSG00000280004,somethw,-1.0,-1.0,-1.0
180,ENSG00000224560,somethw,-1.0,-1.0,-1.0
181,ENSG00000227233,somethw,-1.0,-1.0,-1.0
182,ENSG00000118363,somethw,-1.0,-1.0,-1.0
183,ENSG00000258116,somethw,-1.0,-1.0,-1.0
184,ENSG00000273311,somethw,-1.0,-1.0,-1.0
185,ENSG00000136169,somethw,-1.0,-1.0,-1.0
186,ENSG00000279700,somethw,-1.0,-1.0,-1.0
187,ENSG00000121644,somethw,-1.0,-1.0,-1.0
188,ENSG00000135903,somethw,-1.0,-1.0,-1.0
189,ENSG00000138495,somethw,-1.0,-1.0,-1.0
190,ENSG00000204528,somethw,-1.0,-1.0,-1.0
191,ENSG00000169992,somethw,-1.0,-1.0,-1.0
192,ENSG00000239344,somethw,-1.0,-1.0,-1.0
193,ENSG00000253309,somethw,-1.0,-1.0,-1.0
194,ENSG00000101323,somethw,-1.0,-1.0,-1.0
195,ENSG00000272456,somethw,-1.0,-1.0,-1.0
196,ENSG00000251538,somethw,-1.0,-1.0,-1.0
197,ENSG00000263711,somethw,-1.0,-1.0,-1.0
198,ENSG00000262662,somethw,-1.0,-1.0,-1.0
199,ENSG00000127564,somethw,-1.0,-1.0,-1.0
200,ENSG00000219395,somethw,-1.0,-1.0,-1.0
201,ENSG00000255349,somethw,-1.0,-1.0,-1.0
202,ENSG00000254843,somethw,-1.0,-1.0,-1.0
203,ENSG00000277998,somethw,-1.0,-1.0,-1.0
204,ENSG00000275248,somethw,-1.0,-1.0,-1.0
205,ENSG00000226086,somethw,-1.0,-1.0,-1.0
206,ENSG00000235023,somethw,-1.0,-1.0,-1.0
207,ENSG00000176973,somethw,-1.0,-1.0,-1.0
208,ENSG00000255521,somethw,-1.0,-1.0,-1.0
209,ENSG00000211682,somethw,-1.0,-1.0,-1.0
210,ENSG00000231630,somethw,-1.0,-1.0,-1.0
211,ENSG00000249514,somethw,-1.0,-1.0,-1.0
212,ENSG00000272374,somethw,-1.0,-1.0,-1.0
213,ENSG00000159479,somethw,-1.0,-1.0,-1.0
214,ENSG00000112511,somethw,-1.0,-1.0,-1.0
215,ENSG00000196381,somethw,-1.0,-1.0,-1.0
216,ENSG00000211950,somethw,-1.0,-1.0,-1.0
217,ENSG00000202534,somethw,-1.0,-1.0,-1.0
218,ENSG00000231062,somethw,-1.0,-1.0,-1.0
219,ENSG00000154511,somethw,-1.0,-1.0,-1.0
220,ENSG00000253946,somethw,-1.0,-1.0,-1.0
221,ENSG00000144504,somethw,-1.0,-1.0,-1.0
222,ENSG00000142507,somethw,-1.0,-1.0,-1.0
223,ENSG00000259677,somethw,-1.0,-1.0,-1.0
224,ENSG00000164116,somethw,-1.0,-1.0,-1.0
225,ENSG00000273305,somethw,-1.0,-1.0,-1.0
226,ENSG00000138669,somethw,-1.0,-1.0,-1.0
227,ENSG00000250927,somethw,-1.0,-1.0,-1.0
228,ENSG00000174013,somethw,-1.0,-1.0,-1.0
229,ENSG00000235110,somethw,-1.0,-1.0,-1.0
230,ENSG00000277670,somethw,-1.0,-1.0,-1.0
231,ENSG00000227863,somethw,-1.0,-1.0,-1.0
232,ENSG00000196704,somethw,-1.0,-1.0,-1.0
233,ENSG00000251332,somethw,-1.0,-1.0,-1.0
234,ENSG00000259235,somethw,-1.0,-1.0,-1.0
235,ENSG00000258507,somethw,-1.0,-1.0,-1.0
236,ENSG00000178821,somethw,-1.0,-1.0,-1.0
237,ENSG00000244019,somethw,-1.0,-1.0,-1.0
238,ENSG00000222054,somethw,-1.0,-1.0,-1.0
239,ENSG00000106069,somethw,-1.0,-1.0,-1.0
240,ENSG00000243911,somethw,-1.0,-1.0,-1.0
241,ENSG00000232301,somethw,-1.0,-1.0,-1.0
242,ENSG00000267871,somethw,-1.0,-1.0,-1.0
243,ENSG00000227851,somethw,-1.0,-1.0,-1.0
244,ENSG00000225715,somethw,-1.0,-1.0,-1.0
245,ENSG00000271934,somethw,-1.0,-1.0,-1.0
246,ENSG00000271919,somethw,-1.0,-1.0,-1.0
247,ENSG00000176928,somethw,-1.0,-1.0,-1.0
248,ENSG00000233714,somethw,-1.0,-1.0,-1.0
249,ENSG00000129455,somethw,-1.0,-1.0,-1.0
250,ENSG00000253049,somethw,-1.0,-1.0,-1.0
251,ENSG00000240250,somethw,-1.0,-1.0,-1.0
252,ENSG00000277889,somethw,-1.0,-1.0,-1.0
253,ENSG00000216902,somethw,-1.0,-1.0,-1.0
254,ENSG00000237666,somethw,-1.0,-1.0,-1.0
255,ENSG00000161896,somethw,-1.0,-1.0,-1.0
256,ENSG00000254672,somethw,-1.0,-1.0,-1.0
257,ENSG00000143033,somethw,-1.0,-1.0,-1.0
258,ENSG00000256150,somethw,-1.0,-1.0,-1.0
259,ENSG00000106410,somethw,-1.0,-1.0,-1.0
260,ENSG00000259956,somethw,-1.0,-1.0,-1.0
261,ENSG00000150773,somethw,-1.0,-1.0,-1.0
262,ENSG00000227958,somethw,-1.0,-1.0,-1.0
263,ENSG00000267083,somethw,-1.0,-1.0,-1.0
264,ENSG00000259847,somethw,-1.0,-1.0,-1.0
265,ENSG00000226668,somethw,-1.0,-1.0,-1.0
266,ENSG00000268140,somethw,-1.0,-1.0,-1.0
267,ENSG00000278987,somethw,-1.0,-1.0,-1.0
268,ENSG00000250006,somethw,-1.0,-1.0,-1.0
269,ENSG00000236313,somethw,-1.0,-1.0,-1.0
270,ENSG00000273085,somethw,-1.0,-1.0,-1.0
271,ENSG00000260729,somethw,-1.0,-1.0,-1.0
272,ENSG00000205362,somethw,-1.0,-1.0,-1.0
273,ENSG00000245667,somethw,-1.0,-1.0,-1.0
274,ENSG00000258517,somethw,-1.0,-1.0,-1.0
275,ENSG00000254768,somethw,-1.0,-1.0,-1.0
276,ENSG00000202050,somethw,-1.0,-1.0,-1.0
277,ENSG00000230533,somethw,-1.0,-1.0,-1.0
278,ENSG00000196296,somethw,-1.0,-1.0,-1.0
279,ENSG00000270457,somethw,-1.0,-1.0,-1.0
280,ENSG00000230481,somethw,-1.0,-1.0,-1.0
281,ENSG00000252861,somethw,-1.0,-1.0,-1.0
282,ENSG00000231952,somethw,-1.0,-1.0,-1.0
283,ENSG00000205331,somethw,-1.0,-1.0,-1.0
284,ENSG00000279123,somethw,-1.0,-1.0,-1.0
285,ENSG00000206791,somethw,-1.0,-1.0,-1.0
286,ENSG00000109805,somethw,-1.0,-1.0,-1.0
287,ENSG00000211978,somethw,-1.0,-1.0,-1.0
288,ENSG00000203780,somethw,-1.0,-1.0,-1.0
289,ENSG00000111641,somethw,-1.0,-1.0,-1.0
290,ENSG00000221923,somethw,-1.0,-1.0,-1.0
291,ENSG00000163975,somethw,-1.0,-1.0,-1.0
292,ENSG00000239893,somethw,-1.0,-1.0,-1.0
293,ENSG00000127329,somethw,-1.0,-1.0,-1.0
294,ENSG00000257815,somethw,-1.0,-1.0,-1.0
295,ENSG00000262358,somethw,-1.0,-1.0,-1.0
296,ENSG00000250594,somethw,-1.0,-1.0,-1.0
297,ENSG00000077044,somethw,-1.0,-1.0,-1.0
298,ENSG00000143183,somethw,-1.0,-1.0,-1.0
299,ENSG00000229941,somethw,-1.0,-1.0,-1.0
300,ENSG00000279455,somethw,-1.0,-1.0,-1.0
301,ENSG00000108774,somethw,-1.0,-1.0,-1.0
302,ENSG00000125522,somethw,-1.0,-1.0,-1.0
303,ENSG00000183696,somethw,-1.0,-1.0,-1.0
304,ENSG00000228318,somethw,-1.0,-1.0,-1.0
305,ENSG00000279874,somethw,-1.0,-1.0,-1.0
306,ENSG00000269680,somethw,-1.0,-1.0,-1.0
307,ENSG00000279859,somethw,-1.0,-1.0,-1.0
308,ENSG00000222129,somethw,-1.0,-1.0,-1.0
309,ENSG00000225758,somethw,-1.0,-1.0,-1.0
310,ENSG00000269113,somethw,-1.0,-1.0,-1.0
311,ENSG00000231302,somethw,-1.0,-1.0,-1.0
312,ENSG00000268442,somethw,-1.0,-1.0,-1.0
313,ENSG00000244031,somethw,-1.0,-1.0,-1.0
314,ENSG00000268957,somethw,-1.0,-1.0,-1.0
315,ENSG00000231392,somethw,-1.0,-1.0,-1.0
316,ENSG00000166126,somethw,-1.0,-1.0,-1.0
317,ENSG00000276289,somethw,-1.0,-1.0,-1.0
318,ENSG00000129451,somethw,-1.0,-1.0,-1.0
319,ENSG00000260000,somethw,-1.0,-1.0,-1.0
320,ENSG00000254312,somethw,-1.0,-1.0,-1.0
321,ENSG00000259981,somethw,-1.0,-1.0,-1.0
322,ENSG00000117139,somethw,-1.0,-1.0,-1.0
323,ENSG00000244025,somethw,-1.0,-1.0,-1.0
324,ENSG00000001460,somethw,-1.0,-1.0,-1.0
325,ENSG00000241057,somethw,-1.0,-1.0,-1.0
326,ENSG00000135723,somethw,-1.0,-1.0,-1.0
327,ENSG00000080031,somethw,-1.0,-1.0,-1.0
328,ENSG00000168300,somethw,-1.0,-1.0,-1.0
329,ENSG00000234206,somethw,-1.0,-1.0,-1.0
330,ENSG00000196772,somethw,-1.0,-1.0,-1.0
331,ENSG00000255531,somethw,-1.0,-1.0,-1.0
332,ENSG00000200693,somethw,-1.0,-1.0,-1.0
333,ENSG00000268947,somethw,-1.0,-1.0,-1.0
334,ENSG00000231982,somethw,-1.0,-1.0,-1.0
335,ENSG00000145451,somethw,-1.0,-1.0,-1.0
336,ENSG00000250420,somethw,-1.0,-1.0,-1.0
337,ENSG00000227097,somethw,-1.0,-1.0,-1.0
338,ENSG00000236764,somethw,-1.0,-1.0,-1.0
339,ENSG00000106125,somethw,-1.0,-1.0,-1.0
340,ENSG00000076984,somethw,-1.0,-1.0,-1.0
341,ENSG00000234595,somethw,-1.0,-1.0,-1.0
342,ENSG00000232360,somethw,-1.0,-1.0,-1.0
343,ENSG00000271824,somethw,-1.0,-1.0,-1.0
344,ENSG00000218018,somethw,-1.0,-1.0,-1.0
345,ENSG00000133624,somethw,-1.0,-1.0,-1.0
346,ENSG00000253801,somethw,-1.0,-1.0,-1.0
347,ENSG00000209082,somethw,-1.0,-1.0,-1.0
348,ENSG00000125843,somethw,-1.0,-1.0,-1.0
349,ENSG00000155974,somethw,-1.0,-1.0,-1.0
350,ENSG00000243664,somethw,-1.0,-1.0,-1.0
351,ENSG00000105053,somethw,-1.0,-1.0,-1.0
352,ENSG00000235976,somethw,-1.0,-1.0,-1.0
353,ENSG00000267717,somethw,-1.0,-1.0,-1.0
354,ENSG00000232002,somethw,-1.0,-1.0,-1.0
355,ENSG00000221539,somethw,-1.0,-1.0,-1.0
356,ENSG00000279064,somethw,-1.0,-1.0,-1.0
357,ENSG00000254920,somethw,-1.0,-1.0,-1.0
358,ENSG00000231378,somethw,-1.0,-1.0,-1.0
359,ENSG00000257323,somethw,-1.0,-1.0,-1.0
360,ENSG00000257364,somethw,-1.0,-1.0,-1.0
361,ENSG00000260286,somethw,-1.0,-1.0,-1.0
362,ENSG00000117394,somethw,-1.0,-1.0,-1.0
363,ENSG00000226235,somethw,-1.0,-1.0,-1.0
364,ENSG00000261654,somethw,-1.0,-1.0,-1.0
365,ENSG00000125084,somethw,-1.0,-1.0,-1.0
366,ENSG00000263834,somethw,-1.0,-1.0,-1.0
367,ENSG00000251615,somethw,-1.0,-1.0,-1.0
368,ENSG00000254227,somethw,-1.0,-1.0,-1.0
369,ENSG00000259443,somethw,-1.0,-1.0,-1.0
370,ENSG00000241537,somethw,-1.0,-1.0,-1.0
371,ENSG00000030304,somethw,-1.0,-1.0,-1.0
372,ENSG00000172288,somethw,-1.0,-1.0,-1.0
373,ENSG00000270369,somethw,-1.0,-1.0,-1.0
374,ENSG00000258678,somethw,-1.0,-1.0,-1.0
375,ENSG00000233469,somethw,-1.0,-1.0,-1.0
376,ENSG00000238211,somethw,-1.0,-1.0,-1.0
377,ENSG00000220256,somethw,-1.0,-1.0,-1.0
378,ENSG00000212497,somethw,-1.0,-1.0,-1.0
379,ENSG00000280799,somethw,-1.0,-1.0,-1.0
380,ENSG00000261840,somethw,-1.0,-1.0,-1.0
381,ENSG00000234769,somethw,-1.0,-1.0,-1.0
382,ENSG00000252705,somethw,-1.0,-1.0,-1.0
383,ENSG00000199812,somethw,-1.0,-1.0,-1.0
384,ENSG00000164266,somethw,-1.0,-1.0,-1.0
385,ENSG00000261399,somethw,-1.0,-1.0,-1.0
386,ENSG00000258467,somethw,-1.0,-1.0,-1.0
387,ENSG00000241815,somethw,-1.0,-1.0,-1.0
388,ENSG00000187135,somethw,-1.0,-1.0,-1.0
389,ENSG00000206344,somethw,-1.0,-1.0,-1.0
390,ENSG00000274491,somethw,-1.0,-1.0,-1.0
391,ENSG00000240877,somethw,-1.0,-1.0,-1.0
392,ENSG00000278126,somethw,-1.0,-1.0,-1.0
393,ENSG00000253713,somethw,-1.0,-1.0,-1.0
394,ENSG00000278981,somethw,-1.0,-1.0,-1.0
395,ENSG00000214929,somethw,-1.0,-1.0,-1.0
396,ENSG00000248548,somethw,-1.0,-1.0,-1.0
397,ENSG00000168237,somethw,-1.0,-1.0,-1.0
398,ENSG00000009724,somethw,-1.0,-1.0,-1.0
399,ENSG00000237424,somethw,-1.0,-1.0,-1.0
400,ENSG00000228045,somethw,-1.0,-1.0,-1.0
401,ENSG00000177519,somethw,-1.0,-1.0,-1.0
402,ENSG00000105048,somethw,-1.0,-1.0,-1.0
403,ENSG00000280106,somethw,-1.0,-1.0,-1.0
404,ENSG00000228360,somethw,-1.0,-1.0,-1.0
405,ENSG00000228166,somethw,-1.0,-1.0,-1.0
406,ENSG00000260414,somethw,-1.0,-1.0,-1.0
407,ENSG00000198888,somethw,-1.0,-1.0,-1.0
408,ENSG00000143224,somethw,-1.0,-1.0,-1.0
409,ENSG00000242524,somethw,-1.0,-1.0,-1.0
410,ENSG00000236878,somethw,-1.0,-1.0,-1.0
411,ENSG00000206047,somethw,-1.0,-1.0,-1.0
412,ENSG00000231496,somethw,-1.0,-1.0,-1.0
413,ENSG00000258743,somethw,-1.0,-1.0,-1.0
414,ENSG00000049239,somethw,-1.0,-1.0,-1.0
415,ENSG00000089902,somethw,-1.0,-1.0,-1.0
416,ENSG00000178075,somethw,-1.0,-1.0,-1.0
417,ENSG00000227964,somethw,-1.0,-1.0,-1.0
418,ENSG00000108443,somethw,-1.0,-1.0,-1.0
419,ENSG00000269921,somethw,-1.0,-1.0,-1.0
420,ENSG00000272734,somethw,-1.0,-1.0,-1.0
421,ENSG00000106571,somethw,-1.0,-1.0,-1.0
422,ENSG00000263631,somethw,-1.0,-1.0,-1.0
423,ENSG00000228316,somethw,-1.0,-1.0,-1.0
424,ENSG00000229406,somethw,-1.0,-1.0,-1.0
425,ENSG00000226824,somethw,-1.0,-1.0,-1.0
426,ENSG00000152049,somethw,-1.0,-1.0,-1.0
427,ENSG00000230707,somethw,-1.0,-1.0,-1.0
428,ENSG00000266563,somethw,-1.0,-1.0,-1.0
429,ENSG00000123364,somethw,-1.0,-1.0,-1.0
430,ENSG00000225082,somethw,-1.0,-1.0,-1.0
431,ENSG00000255153,somethw,-1.0,-1.0,-1.0
432,ENSG00000261663,somethw,-1.0,-1.0,-1.0
433,ENSG00000196227,somethw,-1.0,-1.0,-1.0
434,ENSG00000249996,somethw,-1.0,-1.0,-1.0
435,ENSG00000248842,somethw,-1.0,-1.0,-1.0
436,ENSG00000230080,somethw,-1.0,-1.0,-1.0
437,ENSG00000253829,somethw,-1.0,-1.0,-1.0
438,ENSG00000072694,somethw,-1.0,-1.0,-1.0
439,ENSG00000188186,somethw,-1.0,-1.0,-1.0
440,ENSG00000175309,somethw,-1.0,-1.0,-1.0
441,ENSG00000212211,somethw,-1.0,-1.0,-1.0
442,ENSG00000275592,somethw,-1.0,-1.0,-1.0
443,ENSG00000248935,somethw,-1.0,-1.0,-1.0
444,ENSG00000150477,somethw,-1.0,-1.0,-1.0
445,ENSG00000231203,somethw,-1.0,-1.0,-1.0
446,ENSG00000236489,somethw,-1.0,-1.0,-1.0
447,ENSG00000238731,somethw,-1.0,-1.0,-1.0
448,ENSG00000011052,somethw,-1.0,-1.0,-1.0
449,ENSG00000236690,somethw,-1.0,-1.0,-1.0
450,ENSG00000181649,somethw,-1.0,-1.0,-1.0
451,ENSG00000110395,somethw,-1.0,-1.0,-1.0
452,ENSG00000223922,somethw,-1.0,-1.0,-1.0
453,ENSG00000254425,somethw,-1.0,-1.0,-1.0
454,ENSG00000107018,somethw,-1.0,-1.0,-1.0
455,ENSG00000248480,somethw,-1.0,-1.0,-1.0
456,ENSG00000254174,somethw,-1.0,-1.0,-1.0
457,ENSG00000239679,somethw,-1.0,-1.0,-1.0
458,ENSG00000228790,somethw,-1.0,-1.0,-1.0
459,ENSG00000260799,somethw,-1.0,-1.0,-1.0
460,ENSG00000128973,somethw,-1.0,-1.0,-1.0
461,ENSG00000100842,somethw,-1.0,-1.0,-1.0
462,ENSG00000234363,somethw,-1.0,-1.0,-1.0
